1;2
Товар;Услуга
Песок, щебень;Фундамент, Возведение стен, Перекрытия, Лестницы, Укладка полов
Бетон;Фундамент, Возведение стен, Перерытия, Лестницы, Монтаж фасадов, Отделка стен, Укладка полов
Кирпич, керамоблоки;Фундамент, Возведение стен, Перерытия, Крыша, Лестницы
Газосиликат, газобетон;Фундамент, Возведение стен, Перерытия, Крыша, Лестницы
СИП-панели;Возведение стен, Перерытия
Панели;Возведение стен, Лестницы, Отделка наружних стен, Монтаж фасадов, Отделка стен
Для внутренней отделки;Возведение стен, Лестницы, Отделка стен
Для наружной отделки;Возведение стен, Лестницы, Отделка наружних стен, Монтаж фасадов
Плитка и принадлежности для укладки;Отделка наружних стен, Монтаж фасадов, Отделка стен, Укладка полов, Укладка плитки
Сухие смеси и грунтовки;Отделка наружних стен, Монтаж фасадов, Укладка полов, Покраска
Металлоконструкции;Возведение стен
Профлисты;Крыша
Сетка;Фундамент,Возведение стен, Отделка наружних стен, Монтаж фасадов, Отделка стен, Укладка полов
Эмали и лаки;Возведение стен, Отделка наружних стен, Монтаж фасадов, Отделка стен, Укладка полов, Покраска
Краски для внутренних работ;Возведение стен, Отделка стен, Покраска
Краски для наружных работ;Возведение стен, Отделка наружних стен, Монтаж фасадов, Покраска
Декоративные обои;Возведение стен, Отделка стен
Обои под покраску;Возведение стен, Отделка стен, Покраска
Окна;Возведение стен, Установка окон, Жалюзи
Двери;Отделка наружних стен, Монтаж фасадов, Отделка стен, Установка дверей
